@haachamin0727 いやいやいや！笑 めっそーもないってかんじです！😂😂😂
@moe4230  おめでとおめでと😳💖💖
@haachamin0727  わかりました！😂😂 頑張ります😳笑
RT @taaa227ss: #清水翔太 #MyBoo  いま恋してる人 みんなに聴いてほしい曲。  俺の好きなところ抜粋で🤔💭  とっても素敵な曲です。 10月5日に発売されます。 彼女に歌ってあげてください。 彼氏に歌ってもらってください。  27歳の”今”の清水翔太が 全…
今からエクソシスト見る👀🎥
RT @DH_letzt: 子供達に渡されたのはどこにでも行ける航空券。ただその数は家族全員より1枚少ない。最後に、子供達がした選択に泣いてしまった。 (良かったので再掲) https://t.co/yeNCCbcZF4
@syakura_3_9  いやんさくら😘😘 ありがとう憧れだなんてええ てれるうううう あれ？さくらは？？？
部活の栄養士のえみこさんにもらった😆😆😆😆😆 そしてテスト諦めてもうねる #halloween #お菓子 #テスト勉強 #諦めた #寝る https://t.co/bCrepYjxW4
うわあああ びっべんの缶バッチもやってくれないかなあああ ほしいほしいほしいーーーーー！
RT @YG_BLACKPINK: #BLACKPINK  See you in 8 hours 🎱 https://t.co/DFudxCUU0J
RT @YGEXStaff: 【#BIGBANG】BIGBANG×LAWSONキャンペーン♪ 「おさいふPonta」や「BIGBANGくじ2016」など全国のローソンで発売決定♥♥♥⇒https://t.co/3wDkIDt5vJ https://t.co/y3SgisIDZt
@_____rr02  よかった！？！笑笑
@_____rr02  あれ、あたしの頭が悪いのかな、、
. ☕️💏💕 . #テスト #お疲れ様 #部活 #長かった #部活がえり #スタバ #放課後デート #制服 #instagood #instafood #instalike https://t.co/0N3ZVoCm0I
@_____rr02  ちょっくらもっかいみてくるわ🖖
@sasasho0810  もーほんとに爆笑しましたひとりでwwwww ほんとにうけましたwwww あの後もずっと笑ってましたよww
RT @ulzzang_media: 🇰🇷💕BLACKPINK - '붐바야(BOOMBAYAH)🎧✨  この曲、本当かっこいい&amp;可愛い(๑˃̵ᴗ˂̵)💟  #韓国 #KPOP #BLACKPINK https://t.co/BaKROl1FxM
RT @vip_toptop_97: 大ボリュームG-DRAGONメドレー  #ジヨンペンRT #BIGBANG好きな人RT https://t.co/Ax75uF8Z2F
三島行きと修善寺行き間違えた、、、、、、
RT @BB_SNSD_: 勉強したくないから✏ たぶん、飽きるまでやる😆✌️✌️  （✔️）名前： （💓）印象： （📱）ラインできる？: （💭）トプ画みて： （👐🏻）ひとこと：  #いいねした人にやる #DMでやる
さてさて、 来月のびっべんの為にいっちょ頑張りますか🏃💨💪💕
#またまた#スタバ #部活帰り #ごちそうさまです #雨上がり  #曇り https://t.co/6iob3fJdyP
久しぶりにテニスしてこよ🎾
RT @momo17gd: アイハブアペン アイハブアアッポー んー！アッポーペン！ アイハブアペン アイハブアパイナッポー んー！パイナッポーペン！ アッポーペン、パイナッポーペン ペンパイナッポーアッポーペン！ ペンパイナッポーアッポーペン！  KRUNK ver.のPPA…
きもちわる〜🌀 考えすぎてきもちわる、、、🌀 明日も早いのに寝れない〜
RT @ryuka_oryu: ええええええ 見に行きたいいいいいいいい けど２週間しか公開されない… https://t.co/cPIhY5j1y3
#さき #道頓堀 #行ってきた #🍴  #3時間 #ずっと語ってた #元函中  #instagood #instalike #instafood #instnice https://t.co/vnyK5i8Myh
. 公園でサッカーしてきた👫⚽️ 4時間くらい遊んで 寒かった🌀🍃😖 小さい子達とも遊んだ😆💕❕ 真剣に遊んでるしょーくん可愛かった、、、（嘘かも）😆 #サッカー . https://t.co/OIP3hPm8hV
@kanami200082  いやん嬉しい😆💕💕 なに人のプリクラ見せびらかしてるんですかー😶😶😶ww
@kanami200082  も〜裸眼だから焦りました😘笑 お昼お話楽しかったね😂😂😂
ロリコン治せるってよ！！！😉 @masa11020016so2 https://t.co/gc39QNLlFc
@_____nemui____  やばい、さえにきいたくせにブレザー忘れた
@kanami200082  りかこの視線が怖いです、、、、😂😂😂
RT @_____nemui____: これはにやける。みんなみて欲しい（笑） https://t.co/NWZnwcbKnO
@_____nemui____  て、てれまっせ、、、😂😂😂
@sc_atsu724  震えないでww りこも震えるってゆってたwww
@masa11020016so2 @mam0_0fficialt  今日はまさひろの日だよww
@sc_atsu724  2人のせいで私揺れたwwww
@handball_1012  さっきもゆったけど お誕生おめでとうございます😆 あ、時計同じらしいですよ😂😂
1OO日👫💓 初めてお弁当作った、、、😶😂😂 失敗したけど美味しいって食べてくれて良かった😆✌️ありがと😚🍴💞 #100日 #お弁当 #高校 #instagood #instalike… https://t.co/v8zmLiu1UN
RT @6xPZGo1ZPICg3ru: ひゃーくーにーちーだったりする👏👏
@6xPZGo1ZPICg3ru  え！誰とですか！？ おめでとうございます😄💓
@handball_1012  いえいえ😆はい😂😂
@6xPZGo1ZPICg3ru  黒いって自分と付き合ってんの？笑
@Rikkun_1013  りくさん！お誕生日おめでとうございます🎂😆😆 しょーご先輩とイチャイチャしないでくださいね😠😠😂😂😂
@323_akane  おめでとうございます😳💖💖
@6xPZGo1ZPICg3ru  うそうそ！ 黒い物体だよ！！！
@Rikkun_1013  いえいえ😆 あたしの方が好きだから無理ですね！😆
@323_akane  いえいえ😳
@_____rr02  一緒に着ようよ💥💥💥💥
@Rikkun_1013  やった〜😆💥💥笑
@6xPZGo1ZPICg3ru @Rikkun_1013  さっき道でそっくりなサボテン見つけたんですよ😂😂😂😂😂 ほんとに吹きました😂😂😂
@Rikkun_1013 @6xPZGo1ZPICg3ru  なんでよおおおおお！！！！😗😗 写真送ってあげるから仲間入れて😳😳😳😳
@Rikkun_1013 @6xPZGo1ZPICg3ru  ここで送ると明日が怖いんでDMで送りますねwww
@6xPZGo1ZPICg3ru @Rikkun_1013  そんなことゆってあと10秒したらどうせラブラブしてよおおお〜😢💞💞ってくるじゃん
@6xPZGo1ZPICg3ru @Rikkun_1013  ちーんちーんちーんぽーん
RT @zokuzoku1209: .  好きな人と同じ学校だと👫  どれだけ面倒臭くても💧 学校に行く楽しみがあるから 学校に行ける🚶👣💕  . https://t.co/8xWJIH7Ux3
@Rikkun_1013 @6xPZGo1ZPICg3ru  😝😝😝😝😝😝😝
@UdYyk  お誕生日おめでと😆💞🎂 また会ったら話そ😳✌️✌️✌️✌️
本格的に花粉が始まった、、、
@Takaya2132  やばいよね！！ツーンっとする、 あたし喉としたベロと頭やばい、、 痒いし痛いし、、、 去年より早くない！？笑
@Takaya2132  花粉始まると熱出るからやだww やっぱり早いよね！？笑 春乗り越えられるかな、、、笑
RT @wakarana_i: わたし、結構な色黒なんですけど、この間「わー服ほしい！何色の服買おっかな！」と言ったら「カーキは？」と言われて、「えー！！土の擬人化みたいになっちゃう！！」と言ったら、まあまあウケたので、色黒な人は使ってください。
@Takaya2132  えずるあたしもそーするわw
@Takaya2132  頑張る丸🙆
やばい爆発して寝れない、、
@rc_8894  りほさん！！！😳💖💖 お誕生日おめでとうございます😍 いやほんとに可愛くて癒されます りこにそっくりです！！！😂😂
RT @BB_SNSD_: Blue-BIGBANG  #MADE #BIGBANG #Blue https://t.co/2vG4uP74cC
RT @BB_SNSD_: BLUE-BIGBANG  #BIGBANG #MADE #BLUE #TOP https://t.co/QJMejVdMRw
RT @BB_SNSD_: ＊ テソン母の朝👼👵 笑ってるたぷも可愛い🙈💞 ＊  #テソン #テソン母 #TOP https://t.co/50EkHKqjB6
ソシいいいいいい 最近ソシ率下がってたけど 上がってきた⤴️ 今年もlive行きたい冬のクリプレは毎年ソシにつぎ込んでる、、、
部活の時から熱っぽくて 体調悪いの気づいてくれて 疲れてるのに走って家まで来てくれて体に良さそうなもの買ってきてくれた〜😢😢💖💖💖 ほんとにやさお🖖😘😘
@sharan_7800  まあたぶんしゃらんが世界で一番優男かも😉😉😉 アイス三つ食べたら治ったよ😊 あざす😝😝😝😝
@mk1_nz0_km1_z6  や！や！山崎けんとくん！？！！ お誕生日おめでとうございます😳 いやあ、有名人を祝えてほんとに嬉しいです😉😉😉😉😉
@Kuroshin1016  しんさん！ お誕生日おめでとうございます😆🎂👏
@ryo1016bbpp  りょー！ お誕生日おめでと😆🎂🎁🎉👑 勉強、野球がんばれ⚾️
@shun1016LDH  お誕生日おめでとう🎂🎈👏 野球がんばれ⚾️⚾️⚾️
@mk1_nz0_km1_z6  全然似てます😚 いえいえ！
@2tn106290UmBCIv  はるきハピバ👏👏👏
RT @kpop_douga: 応答せよ1997(ウンジ&amp;ソイングク) https://t.co/8WgGqhkioU
RT @kpop_douga: ラブレイン https://t.co/Fs26jdabG2
#今日も来てくれた #ポムポムプリン #マック #instafood #instalike #しょーくんが食べたけど(笑) https://t.co/UTVSqvgYTb
もうかれこれ 30分くらい外にいる😳🍃🌀 夜の匂いと空が綺麗でなんでも忘れられる💭 https://t.co/POB0JWD68Q
RT @musicfes_tival: milk tea/清水翔太  理解り合っていたいよ  だからもっと愛そう  誰かが僕らを素敵だと思うように  ミルクティーみたいに二人寄り添って  少しの甘さで幸せになれる気がするよ https://t.co/1WjePg4Qtl
RT @BB_SNSD_: . 公園でサッカーしてきた👫⚽️ 4時間くらい遊んで 寒かった🌀🍃😖 小さい子達とも遊んだ😆💕❕ 真剣に遊んでるしょーくん可愛かった、、、（嘘かも）😆 #サッカー . https://t.co/OIP3hPm8hV
#1016 小1からの付き合いの なまずと遊んできた😂😉💖 ひたすら喋ってた🗣💋👐 楽しかった😂😂🖖🖖🖖  ほんっとにナマズに似てて とにかく面白いから載せちゃう😝 （見つけてみてね👀😂😂） https://t.co/FspH1Fq7jt
かわよ、、、 #花 https://t.co/A1FFHDAln8
@shappygirl321  早すぎわろわろわろww 激似すぎて笑うww
@syakura_3_9 函中ポニテも触覚もダメなんでしょ！！！？？
昼休みからチューリップの歌が離れなくて寝れない、、、笑
@Xy5Mcr  みいぃぃぃおぉぉぉ❕❕❕ お誕生日おめでとう😆✌️💖💖 駅で会えるから嬉しい😳😘😘 澪のノリがすごく好き❣️❣️ また遊ぼうね🎾😉🕶💥💥 これからも小さくて可愛い澪でいてね💖💖💖💖（笑） も〜ほんとにかわいい😝😝😝
#懐かしい #飴 #セブンイレブン  #落として #割れた #楽しくない https://t.co/wtcA3XgfHW
@sharan_7800 @shappygirl321  11月には集まれるよ😉💥💥💥💥
RT @kowakowa_: グロいけど見たいわ  https://t.co/fJvRXq0UWJ
RT @backnumber25251: 【ハッピーエンド】  さよならが 喉の奥に つっかえてしまって  咳をするみたいに  ありがとうって言ったの  次の言葉はどこかと ポケットを探しても  見つかるのは あなたを好きな 私だけ  平気よ 大丈夫だよ 優しくなれたと思って…
RT @BB_SNSD_: #懐かしい #飴 #セブンイレブン  #落として #割れた #楽しくない https://t.co/wtcA3XgfHW
RT @BB_SNSD_: #1016 小1からの付き合いの なまずと遊んできた😂😉💖 ひたすら喋ってた🗣💋👐 楽しかった😂😂🖖🖖🖖  ほんっとにナマズに似てて とにかく面白いから載せちゃう😝 （見つけてみてね👀😂😂） https://t.co/FspH1Fq7jt
@ami1020ami  ほんとに遅れてごめん😢😢 お誕生日おめでとう😆💖💖 また話そ〜😆👐😊
RT @TR7k1NiMcg2z0yg: Mybooの女バージョンだ👀💕 何回も再生してしまう笑 めっちゃいい💑 https://t.co/guxX9AslD3
RT @GG_Daichi: たった一度でいいからK-popしばりのMステが見てみたい😍 #共感したらRT #共感したらRT  #共感したらRT  #共感したらRT  #共感したらRT https://t.co/Ovb5McXLAU
@t_m_op  みゆ〜❕ お誕生日おめでとう😆🎂💖 また会いたい話したい🗣 どんどん可愛くなってく😳😳💞
@hazuxox  はずきさん😳💞 お誕生日おめでとうございます😆🎂 また今度声かけますね🗣💖💖 いい一年にしてぐだざい👐❣️
@R_I_O_22  りおさん お誕生日おめでとうございます😆🎂💞 また今度お話してください🗣😳 いい一年にしてください😊💖
@hazuxox いえいえ！！
@R_I_O_22  いえいえ😍 ありがとうございます😆💞💞💞
@t_m_op  いいいいいえいえ😘✌️ それな😝😝😝
@nagumo449  どこにあった？
久しぶりにブッチャ行ってきた☺︎︎︎ 美味しい︎︎☺︎満足︎︎☺︎ #ブッチャー #大盛り  やっぱり#コッテリ派  #instagood #instalike https://t.co/5o0zNeOhE0
RT @korea__U: ついにTWICEカムバック ！！ 🌸  おめでとうございます 👏👏  歌もダンスも可愛い  (＾ν＾)💗  ｢TT｣  /  TWICE  #TWICE  #カムバック  #TT https://t.co/49wiQyKLXW
RT @Kpop30s_bot: TWICE(트와이스) - TT https://t.co/5yKLWFPD1s
RT @GG_Daichi: ユナの歌声って本当にキレイ😍 めっちゃ癒される！！！ この歌めっちゃ有名だから色々な人がカバーしてるけどユナが1番だと僕は思う😎 https://t.co/lp8iMfEfOg
煮卵おにぎり復活してた😘😍💖💄😝💞😭🍎😍❣️💕🙈🕶😝😘😄💥🤑😃🌇🐔🐣☀️🎁🎉👑💜💓🎵😝🤓😎🤘✨🤗🤑🍍😝😘😎
